data_reserva,responsavel,codigo,descricao,quantidade,unidade,cc,reserva,data_entrega,laudo,quantidade_recebida,pendencia,responsavel_recebimento
2026-01-27 00:00:00,Diana Maia,2224906,FITA ADESIVA CREPE 50MM 50MTS,10,pç,50013125,33691192,2026-01-28 00:00:00,Aprovado,10,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,1663267,FITA ISOLANTE,5,pç,50015127,33691193,2026-02-09 00:00:00,Aprovado,5,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2227276,ALICATE UNIVERSAL 200MM AÇO 1000V,1,pç,50015127,33691193,2026-02-09 00:00:00,Aprovado,1,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,1021524,ALICATE BICO MEIA CANA,1,pç,50015127,33691193,2026-02-09 00:00:00,Aprovado,1,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,1021656,ALICATE PRESSÃO 250MM C/MORDENTE AÇO,1,pç,50015127,33691193,2026-02-09 00:00:00,Aprovado,1,0,Diana Maia
2026-02-09 00:00:00,Diana Maia,5122154,MEDIDOR LUZ BRANCA/NEGRA M513 APOLLO,1,pç,50015127,33793922,,,1,0,
2026-02-11 00:00:00,Diana Maia,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",100,pç,50012127,33793925,2026-03-27 00:00:00,Aprovado,100,0,Diana
2026-02-11 00:00:00,Diana Maia,5122154,MEDIDOR LUZ BRANCA/NEGRA M513 APOLLO,1,pç,50012127,33793925,2026-03-27 00:00:00,Aprovado,1,0,Diana
2026-02-11 00:00:00,Diana Maia,5115669,PINO GUIA REF 25030RBH PROCESSOS,600,pç,50015127,33793922,,,600,0,
2026-02-11 00:00:00,Diana Maia,5115667,PINO GUIA REF 25060RBH PROCESSOS,200,pç,50015127,33793922,,,200,0,
2026-02-11 00:00:00,Diana Maia,5004333,SOLVENTE ECOLÓGICO REF MP213/V 20L,4,pç,50012127,33793925,2026-03-27 00:00:00,Aprovado,4,0,Diana
2026-03-07 00:00:00,Diana Maia,5004333,SOLVENTE ECOLÓGICO REF MP213/V 20L,6,pç,50013125,33949022,,,6,0,
2026-03-07 00:00:00,Diana Maia,2178643,PARTÍCULA MAGNÉTICA VIA ÚMIDA FLUORESCENTE CLY2000,50,lt,50013125,33949022,,,50,0,
2026-03-07 00:00:00,Diana Maia,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",10,pç,50012127,33949020,,,10,0,
2026-03-07 00:00:00,Diana Maia,5014718,FITA ISOLANTE ANTI CHAMA PVC 19MMX20M AMARELO,10,pç,50012127,33949020,,,10,0,
2026-03-07 00:00:00,Diana Maia,5014716,FITA ISOLANTE ANTI CHAMA PVC 19MMX20M AZUL,10,pç,50012127,33949020,,,10,0,
2026-03-07 00:00:00,Diana Maia,5056446,FITA ISOLANTE ANTI CHAMA PVC 19MMX20M BRANCA,10,pç,50012127,33949020,,,10,0,
2026-03-07 00:00:00,Diana Maia,5014719,FITA ISOLANTE ANTI CHAMA PVC 19MMX20M VERDE,10,pç,50012127,33949020,,,10,0,
2026-03-07 00:00:00,Diana Maia,5014717,FITA ISOLANTE ANTI CHAMA PVC 19MMX20M VERMELHO,10,pç,50012127,33949020,,,10,0,
2026-03-07 00:00:00,Diana Maia,1511467,PILHA ALCALINA AA,48,pç,50013125,33949022,,,48,0,
2026-03-07 00:00:00,Diana Maia,2234293,MEDIDOR CAMPO MAGNÉTICO ANALÓGICO +50-50G,2,pç,50012127,33949020,,,2,0,
2026-03-07 00:00:00,Diana Maia,1023110,"CALIBRADOR DE FOLGA 0,05-1 MM",10,,50015127,33949023 ,,,10,0,
2026-03-07 00:00:00,Diana Maia,1022725,TRENA AÇO  5M C/TRAVA AC34-5ME9,20,pç,50015127,33949023 ,,,20,0,
2026-03-07 00:00:00,Diana Maia,2180855,TINTA SPRAY AMARELO,24,pç,50013125,33949022,,,24,0,
2026-03-07 00:00:00,Diana Maia,2201859,TINTA SPRAY AZUL,48,pç,50013125,33949022,,,48,0,
2026-03-07 00:00:00,Diana Maia,1454463,(NÃO USAR ESTE) ADESIVO ANAERÓB ESTRUT 319-LOCTITE (NÃO USAR ESTE),10,pç,50013125,33949022,,,10,0,
2026-03-07 00:00:00,Diana Maia,1484427,"ABRAÇAD INSULOK NATURAL  7,9X381 GRANDE",100,pç,50013125,33949022,,,100,0,
2026-03-07 00:00:00,Diana Maia,1050265,"ABRAÇADEIRA DE NYLON 200X4,6MM",100,pç,50013125,33949022,,,100,0,
2026-03-07 00:00:00,Diana Maia,1050257,"ABRAÇADEIRA DE NYLON 92X2,6MM",100,pç,50013125,33949022,,,100,0,
2026-03-07 00:00:00,Diana Maia,5001970,ESCOVA DE AÇO ROTATIVA LIMPAR LÂMINAS DA SERRA FOGO,100,PÇ,50012129,33949021,,,100,0,
2026-03-27 00:00:00,Dyego Ferreira,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",100,pç,50012127,34042505,2026-06-18 00:00:00,Aprovado,100,0,Diego Fonseca
2026-03-27 00:00:00,Dyego Ferreira,2196584,TINTA PARA REA-JET 040,40,lt,50012127,34053263,2026-04-26 00:00:00,Aprovado,40,0,Dyego
2026-03-27 00:00:00,Dyego Ferreira,2210714,MARCADOR IND ESFRROGR DYKEN MEDIO BRANCO (CANETA),48,pç,50012127,34053263,2026-04-26 00:00:00,Aprovado,48,0,Dyego
2026-03-31 00:00:00,Dyego Ferreira,5029440,CABO COAXIAL DUPLO PARA ULTRASOM MANUAL,3,un,50013125,34053263,2026-04-26 00:00:00,Aprovado,3,0,Dyego
2026-04-02 00:00:00,Dyego Ferreira,2245894,MEDIDOR DIÂMETRO (FITA PI) 20 - 300MM CIRCOMETER,3,un,50012127,34053263,2026-04-26 00:00:00,Aprovado,40,-37,Dyego
2026-04-02 00:00:00,Dyego Ferreira,2216753,MEDIDOR DIÂMETRO (FITA PI)  300 - 700MM CIRCOMETER,3,un,50012127,34053370,2026-04-14 00:00:00,Aprovado,3,0,Dyego
2026-04-02 00:00:00,Dyego Ferreira,1022555,TESOURA FUNILEIRO P/CHAPAS CORTE RETO,1,un,50012127,34069289,2026-04-10 00:00:00,Aprovado,1,0,Dyego
2026-04-02 00:00:00,Dyego Ferreira,2158968,BATERIA BOTÃO LR 44,10,un,50012127,34053370,2026-06-02 00:00:00,Aprovado,10,0,Dyego
2026-04-07 00:00:00,Dyego Ferreira,2179254,TUBO DECANTADOR,4,un,50012127,34069289,2026-04-10 00:00:00,Aprovado,1,3,Dyego
